Name,HexColor
Ivory White,#FFFFFF
Bone White,#CBC6B8
Desert Tan,#E8DBB7
Latte Brown,#D3B7A7
Caramel,#AE835B
Terracotta,#B15533
Dark Brown,#7D6556
Dark Chocolate,#4D3324
Lilac Purple,#AE96D4
Sakura Pink,#E8AFCF
Mandarin Orange,#F99963
Lemon Yellow,#F7D959
Plum,#950051
Scarlet Red,#DE4343
Dark Red,#BB3D43
Dark Green,#68724D
Grass Green,#61C680
Apple Green,#C2E189
Ice Blue,#A3D8E1
Sky Blue,#56B7E6
Marine Blue,#0078BF
Dark Blue,#042F56
Ash Gray,#9B9EA0
Nardo Gray,#757575
Charcoal,#000000